distance,name,price,rating,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,req_cat
979,Royal Coach Diner,2.0,8.5,40.872561,-73.854315,40.872561,-73.854315,13065
861,Kingston Tropical Bakery,1.0,8.2,40.888577,-73.85976,40.888577,-73.85976,13065
879,Jerry's Pizza,1.0,8.0,40.87588,-73.849225,40.87588,-73.849225,13065
888,Richie Rich Carribean,2.0,6.8,40.875485,-73.849867,40.875485,-73.849867,13065
859,KFC,1.0,6.5,40.8737,-73.854137,40.8737,-73.854137,13065
66,O G Cafe,1.0,,40.880476,-73.857494,40.880476,-73.857494,13065
503,Platnium Dining,2.0,,40.883313,-73.862721,40.883313,-73.862721,13065
577,Agra Grill,2.0,,40.884776,-73.862556,40.884776,-73.862556,13065
580,Cholo & Sons Bakery,1.0,,40.884459,-73.862563,,,13065
726,Superhero,1.0,,40.874717,-73.858685,40.874717,-73.858685,13065
732,Holyfruits Juice Press,1.0,,40.886513,-73.860955,,,13065
813,Kennedy Fried Chicken,1.0,,40.888083,-73.860049,40.888083,-73.860049,13065
846,Bennys Famous Pizzeria,1.0,,40.877817,-73.866286,40.877817,-73.866286,13065
876,Good Taste,2.0,,40.875644,-73.850005,40.875644,-73.850005,13065
903,New York Deli Grocery & Tobacco Shop,1.0,,40.888961,-73.859555,40.888961,-73.859555,13065
912,Mango Restaurant & Catering,2.0,,40.889289,-73.859392,40.889289,-73.859392,13065
935,El Valle Restaurant,2.0,,40.876229,-73.848274,40.876229,-73.848274,13065
970,Little Negril,2.0,,40.876353,-73.847666,40.876353,-73.847666,13065
984,Boston Road's Taco Grill & Chinese Restaurant,1.0,,40.876961,-73.847119,40.876961,-73.847119,13065
518,Maddy's African Grill Restaurant,,,40.881778,-73.863541,40.881778,-73.863541,13065
518,Jamaica Fried Chicken Restaurant,,,40.881778,-73.863541,40.881778,-73.863541,13065
563,La Parilla International,,,40.884011,-73.862878,40.884011,-73.862878,13065
563,El Meson Restaurant,,,40.884011,-73.862878,40.884011,-73.862878,13065
584,Pyramid Exotic Restaurant,,,40.884503,-73.862677,40.884503,-73.862677,13065
196,Caridad and Louie's Restaurant,2.0,7.7,40.865857,-73.837697,40.865857,-73.837697,13065
678,Panera Bread,2.0,8.2,40.867785,-73.827829,40.867785,-73.827829,13065
782,Fratelli,3.0,8.3,40.863001,-73.843723,40.863001,-73.843723,13065
954,Nick's Pizza Restaurant,2.0,8.1,40.870281,-73.846351,40.870281,-73.846351,13065
774,Red Lobster,2.0,7.9,40.869048,-73.827042,40.869048,-73.827042,13065
718,Sangria Cafe,2.0,7.6,40.869721,-73.828161,40.869721,-73.828161,13065
714,Olive Garden,2.0,7.6,40.864383,-73.827751,40.864383,-73.827751,13065
830,Chipotle Mexican Grill,1.0,7.3,40.868856,-73.826072,40.868856,-73.826072,13065
682,Outback Steakhouse,4.0,7.1,40.864552,-73.828443,40.864475,-73.828367,13065
426,Shake Shack,1.0,6.7,40.867258,-73.830716,,,13065
438,Popeyes Louisiana Kitchen,2.0,6.6,40.868616,-73.83123,40.868616,-73.83123,13065
257,Pizza Hut,1.0,6.4,40.868659,-73.833771,40.868659,-73.833771,13065
713,Bagels On Bartow,1.0,6.8,40.869736,-73.829694,40.869736,-73.829694,13065
464,Moe's Southwest Grill,1.0,6.6,40.864086,-73.826689,40.864086,-73.826689,13065
798,Auntie Anne's,1.0,6.8,40.86407,-73.827302,40.86407,-73.827302,13065
483,McDonald's,1.0,6.3,40.868742,-73.830534,40.868742,-73.830534,13065
890,Dallas BBQ,2.0,6.6,40.867757,-73.824676,40.867757,-73.824676,13065
809,Charleys Philly Steaks,1.0,6.6,40.863537,-73.82702,40.863537,-73.82702,13065
457,Chuck E. Cheese's,2.0,6.3,40.86327,-73.833226,40.86327,-73.833226,13065
798,"""""""""""""Nathan's Famous""""""""""""",1.0,6.4,40.866211,-73.830224,40.866211,-73.830224,13065
807,Dragon City,2.0,6.3,40.869072,-73.82608,40.869072,-73.82608,13065
830,Sbarro,1.0,6.2,40.86359,-73.827065,40.86359,-73.827065,13065
270,Joyful Dragon Chinese Restaurant,1.0,,40.868822,-73.833733,40.868822,-73.833733,13065
896,Golden Krust Caribbean Bakery And Grill,2.0,6.1,40.87025,-73.84543,40.87025,-73.84543,13065
629,BBQ's,2.0,,40.86889,-73.828963,40.86889,-73.828963,13065
355,Enzo's Restaurant,3.0,8.6,40.854143,-73.854126,40.854143,-73.854126,13065
905,Patricia's,2.0,8.8,40.849192,-73.85342,40.849192,-73.85342,13065
336,Sorrento Pizzeria,1.0,7.6,40.85446,-73.8544,40.85446,-73.8544,13065
885,Sal & Dom's Pastry Shop,1.0,8.4,40.865243,-73.85523,40.865243,-73.85523,13065
984,John & Joe's Pizzeria,1.0,8.1,40.854593,-73.86596,40.854593,-73.86596,13065
