,Distance (m),Name,Price,Rating,Borough,Neighborhood,Zipcode,Latitude,Longitude,Category
136,720.0,Liebman's Kosher Deli,2.0,8.5,Bronx,Marble Hill,10463.0,40.88168737120521,-73.90281798724604,restaurant
137,457.0,Tilila Casa Publica & Cocina,2.0,8.0,Bronx,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
138,789.0,Blue Bay Restaurant,2.0,8.5,Bronx,Kingsbridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
139,364.0,Estrellita Poblana V,1.0,7.8,Bronx,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
140,367.0,Buffalo Wild Wings,1.0,7.8,Bronx,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
141,425.0,S&S Cheesecake,1.0,7.8,Bronx,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
142,633.0,The Hill Bistro,2.0,7.9,Bronx,Kingsbridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
143,375.0,Chipotle Mexican Grill,1.0,7.5,Bronx,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
144,746.0,Greek Express,2.0,7.8,Bronx,Kingsbridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
145,730.0,Moss Cafe,1.0,7.7,Bronx,Marble Hill,10463.0,40.88168737120521,-73.90281798724604,restaurant
146,763.0,Pizza Chef,1.0,7.6,Bronx,Marble Hill,10463.0,40.88168737120521,-73.90281798724604,restaurant
147,755.0,Salvatores of Soho,2.0,7.6,Bronx,Kingsbridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
148,659.0,Rolen Bagels,1.0,7.3,Bronx,Kingsbridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
149,173.0,IHOP,2.0,6.6,Bronx,Kings Bridge,10463.0,40.88168737120521,-73.90281798724604,restaurant
150,452.0,Tibbett Diner,1.0,9.0,Bronx,Kings Bridge,10463.0,40.87655077879964,-73.91065965862981,restaurant
151,515.0,Sam's Pizza,1.0,8.3,Bronx,Kings Bridge,10463.0,40.87655077879964,-73.91065965862981,restaurant
152,769.0,Indian Road Cafe,2.0,8.4,New York,Inwood,10034.0,40.87655077879964,-73.91065965862981,restaurant
153,636.0,The Bronx Public,1.0,8.2,New York,Kings Bridge,10463.0,40.87655077879964,-73.91065965862981,restaurant
154,606.0,El Malecon Restaurant,2.0,8.0,Bronx,Kings Bridge,10463.0,40.87655077879964,-73.91065965862981,restaurant
155,508.0,Estrellita Poblana V,1.0,7.8,Bronx,Kings Bridge,10463.0,40.87655077879964,-73.91065965862981,restaurant
156,1007.0,Liebman's Kosher Deli,2.0,8.5,Bronx,Marble Hill,10463.0,40.87655077879964,-73.91065965862981,restaurant
157,920.0,Guacamole Taqueria,1.0,8.0,New York,Inwood,10034.0,40.87655077879964,-73.91065965862981,restaurant
158,661.0,Park Terrace Deli,1.0,7.6,New York,Inwood,10034.0,40.87655077879964,-73.91065965862981,restaurant
159,848.0,Brown Sugar Restaurant,3.0,7.6,New York,Inwood,10034.0,40.87655077879964,-73.91065965862981,restaurant
160,969.0,Moss Cafe,1.0,7.7,Bronx,Marble Hill,10463.0,40.87655077879964,-73.91065965862981,restaurant
161,1003.0,Liffy II Bar,2.0,7.5,New York,Inwood,10034.0,40.87655077879964,-73.91065965862981,restaurant
162,489.0,Auntie Anne's,1.0,6.8,Bronx,Kings Bridge,10463.0,40.87655077879964,-73.91065965862981,restaurant
163,704.0,IHOP,2.0,6.6,Bronx,Kings Bridge,10463.0,40.87655077879964,-73.91065965862981,restaurant
164,671.0,KFC,1.0,6.2,Bronx,Kings Bridge,10463.0,40.87655077879964,-73.91065965862981,restaurant
165,168.0,151 Grocery/Deli,1.0,,New York,Marble Hill,10463.0,40.87655077879964,-73.91065965862981,restaurant
166,219.0,Taqueria Sinaloense,1.0,,Bronx,Marble Hill,10463.0,40.87655077879964,-73.91065965862981,restaurant
167,226.0,El Guacamole Restaurant,1.0,,New York,Marble Hill,10463.0,40.87655077879964,-73.91065965862981,restaurant
168,245.0,China Wang,1.0,,Bronx,Marble Hill,10463.0,40.87655077879964,-73.91065965862981,restaurant
169,687.0,Twin Donut,1.0,5.7,New York,Inwood,10034.0,40.87655077879964,-73.91065965862981,restaurant
170,570.0,Popeyes Louisiana Kitchen,1.0,5.4,Bronx,Kings Bridge,10463.0,40.87655077879964,-73.91065965862981,restaurant
171,651.0,Panda Restaurant,1.0,,Bronx,Kings Bridge,10463.0,40.87655077879964,-73.91065965862981,restaurant
172,736.0,Kamil Grocery,1.0,,Bronx,Kings Bridge Heights,10463.0,40.87655077879964,-73.91065965862981,restaurant
173,770.0,Manny Deli,1.0,,Bronx,Kings Bridge Heights,10463.0,40.87655077879964,-73.91065965862981,restaurant
174,969.0,Bello Deli Food,1.0,,New York,Inwood,10034.0,40.87655077879964,-73.91065965862981,restaurant
175,21.0,Rambling House,2.0,8.7,Bronx,Lincoln,10470.0,40.89827261213805,-73.86731496814176,restaurant
176,73.0,Curry Spot,2.0,7.7,Bronx,Lincoln,10470.0,40.89827261213805,-73.86731496814176,restaurant
177,745.0,Rory Dolan's,2.0,8.7,Yonkers,Lincoln,10704.0,40.89827261213805,-73.86731496814176,restaurant
178,549.0,Avitable Bros,1.0,8.2,Yonkers,Lincoln,10704.0,40.89827261213805,-73.86731496814176,restaurant
179,552.0,Angelo Pizzeria,1.0,7.8,Yonkers,Lincoln,10704.0,40.89827261213805,-73.86731496814176,restaurant
180,579.0,Irish Coffee Shop,2.0,7.7,Yonkers,Lincoln,10704.0,40.89827261213805,-73.86731496814176,restaurant
181,578.0,J P Clarkes Saloon,2.0,7.4,Yonkers,Lincoln,10704.0,40.89827261213805,-73.86731496814176,restaurant
182,554.0,Moriartys Bar And Restaurant,2.0,6.8,Yonkers,Lincoln,10704.0,40.89827261213805,-73.86731496814176,restaurant
183,45.0,Just One Tavern,,,Bronx,Lincoln,10470.0,40.89827261213805,-73.86731496814176,restaurant
184,136.0,Woodlawn Deli,1.0,,Bronx,Lincoln,10470.0,40.89827261213805,-73.86731496814176,restaurant
185,165.0,Bella Napoli,1.0,,Bronx,Lincoln,10470.0,40.89827261213805,-73.86731496814176,restaurant
186,185.0,Katonah Irish Mini Mart,1.0,,New York,Lincoln,10470.0,40.89827261213805,-73.86731496814176,restaurant
187,1111.0,Danny Macs,2.0,6.3,Yonkers,Lincoln,10704.0,40.89827261213805,-73.86731496814176,restaurant
188,453.0,Bella Napoli 2,1.0,,Bronx,Lincoln,10470.0,40.89827261213805,-73.86731496814176,restaurant
189,531.0,Hearty & Healthy,1.0,,Yonkers,Lincoln,10704.0,40.89827261213805,-73.86731496814176,restaurant
190,550.0,Dee's Deli & Cafe,1.0,,Yonkers,Lincoln,10704.0,40.89827261213805,-73.86731496814176,restaurant
191,563.0,Oshima,2.0,,Yonkers,Lincoln,10704.0,40.89827261213805,-73.86731496814176,restaurant
192,582.0,Fagan's Ale House,2.0,,Yonkers,Lincoln,10704.0,40.89827261213805,-73.86731496814176,restaurant
193,712.0,Tito Boss - Halal Cart,1.0,,Bronx,Williamsbridge,10466.0,40.89827261213805,-73.86731496814176,restaurant
194,754.0,The Rail House Restaurant,2.0,,Yonkers,Woodlawn,10704.0,40.89827261213805,-73.86731496814176,restaurant
195,783.0,Kelly's Pub,1.0,,Bronx,Lincoln,10470.0,40.89827261213805,-73.86731496814176,restaurant
196,907.0,Loong Xin Asian cuisine,2.0,,Bronx,Williambridge,10466.0,40.89827261213805,-73.86731496814176,restaurant
197,974.0,Tony's Pizza,1.0,,Bronx,Williambridge,10466.0,40.89827261213805,-73.86731496814176,restaurant
198,974.0,Carifesta Restaurant,2.0,,Bronx,Wakefield,10466.0,40.89827261213805,-73.86731496814176,restaurant
199,961.0,Burger King,1.0,4.6,Bronx,Wakefield,10466.0,40.89827261213805,-73.86731496814176,restaurant
200,217.0,Sal's Pizzeria,1.0,8.3,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
201,474.0,Queen of Tacos,1.0,7.2,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
202,912.0,Madden's Bedford Pub,1.0,7.5,Bronx,Belmont,10468.0,40.87722415599446,-73.8793907395681,restaurant
203,927.0,Las Maravillas de Mexico Restaurant,2.0,7.4,Bronx,Belmont,10468.0,40.87722415599446,-73.8793907395681,restaurant
204,931.0,Jerome Pizza,1.0,7.4,Bronx,Belmont,10468.0,40.87722415599446,-73.8793907395681,restaurant
205,667.0,La Cabana 2 Salvadorena Restaurant,1.0,7.1,Bronx,Belmont,10468.0,40.87722415599446,-73.8793907395681,restaurant
206,712.0,La Nueva Estrella,3.0,7.0,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
207,497.0,Subway,1.0,6.7,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
208,495.0,Golden Krust Caribbean Restaurant,2.0,6.6,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
209,926.0,Bedford Cafe & Restaurant,2.0,7.0,Bronx,Belmont,10468.0,40.87722415599446,-73.8793907395681,restaurant
210,683.0,McDonald's,1.0,6.7,Bronx,Williams Bridge,10467.0,40.87722415599446,-73.8793907395681,restaurant
211,58.0,Mar Y Tierra Resturant & Lounge,1.0,,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
212,492.0,M & R Pizza,1.0,6.1,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
213,238.0,Top Fresh Tortillas,1.0,,Bronx,Norwood,10467.0,40.87722415599446,-73.8793907395681,restaurant
