neighborhood,studio,,neighborhood,1_bedroom,,neighborhood,2_bedroom,,,
Prospect Park,"$1,850",,Great Kills,"$1,400",,Allerton,"$1,800",,,
University Heights,"$1,300",,Clason Point,"$1,700",,Douglaston,"$2,645",,,
Foxhurst,$947,,Morris Park,"$1,500",,Kingsbridge,"$2,198",,,
Flushing Meadows-Corona Park,"$1,650",,Pelham Gardens,"$1,350",,City Island,"$2,350",,,
Van Cortlandt Park,"$1,400",,Mount Hope,"$1,575",,Great Kills,"$1,750",,,
Brooklyn Navy Yard,"$3,000",,Fordham Heights,"$1,625",,Clason Point,"$2,100",,,
,,,Forest Park,"$1,700",,Crotona Park East,"$2,000",,,
,,,Bergen Beach,"$1,500",,Morris Park,"$2,050",,,
,,,Little Neck,"$1,875",,Mount Hope,"$1,825",,,
,,,Westerleigh,"$1,250",,Fordham Heights,"$2,000",,,
,,,West Brighton,"$2,400",,New Brighton,"$1,800",,,
,,,Jamaica Hills,"$1,600",,Forest Park,"$2,000",,,
,,,Unionport,"$1,600",,Bergen Beach,"$1,900",,,
,,,Van Nest,"$1,875",,Little Neck,"$3,275",,,
,,,Hunts Point,"$1,350",,Westerleigh,"$1,800",,,
,,,Pomonok,"$1,700",,West Brighton,"$1,800",,,
,,,Bedford Park,"$1,525",,Jamaica Hills,"$2,300",,,
,,,Marine Park,"$1,650",,Unionport,"$1,775",,,
,,,Morris Heights,"$1,625",,Van Nest,"$2,200",,,
,,,New Dorp,"$1,550",,Hunts Point,"$1,500",,,
,,,Fordham Manor,"$1,688",,Pomonok,"$2,100",,,
,,,Roosevelt Island,"$2,825",,Bedford Park,"$2,100",,,
,,,Coney Island,"$2,250",,Marine Park,"$2,100",,,
,,,Mount Eden,"$1,685",,Morris Heights,"$1,900",,,
,,,New Springville,"$1,450",,New Dorp,"$1,500",,,
,,,Concord,"$1,300",,Fordham Manor,"$2,050",,,
,,,Springfield Gardens,"$2,050",,Roosevelt Island,"$4,478",,,
,,,Rosebank,"$1,550",,Coney Island,"$2,400",,,
,,,Eltingville,"$1,300",,Mount Eden,"$2,000",,,
,,,Prince's Bay,"$1,400",,New Springville,"$1,850",,,
