business_status,icon,icon_background_color,icon_mask_base_uri,name,place_id,reference,scope,types,vicinity,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,plus_code.compound_code,plus_code.global_code,photos,rating,user_ratings_total,opening_hours.open_now,price_level,permanently_closed,req_cat
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,W 42 St/10 Av,ChIJ2SlRg01YwokRuZyACGDMrOk,ChIJ2SlRg01YwokRuZyACGDMrOk,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.7596225,-73.9954565,40.76099488029151,-73.9940905197085,40.75829691970851,-73.9967884802915,"Q253+RR New York, NY, USA",87G8Q253+RR,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,W 42 St/11 Av,ChIJfb7rS0xYwokR_5zP9sFonqo,ChIJfb7rS0xYwokR_5zP9sFonqo,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.76068299999999,-73.997986,40.76201428029149,-73.99664921970849,40.7593163197085,-73.9993471802915,"Q262+7R New York, NY, USA",87G8Q262+7R,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Midtown / W. 39th St.,ChIJAVdSpktYwokRLwd1dkDn66c,ChIJAVdSpktYwokRLwd1dkDn66c,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.76052509999999,-74.0026894,40.76187408029149,-74.00134041970848,40.75917611970849,-74.00403838029149,"QX6W+6W New York, NY, USA",87G7QX6W+6W,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,12 Av/w 46 St,ChIJcwaD5E5YwokRI2p2JUnDUx4,ChIJcwaD5E5YwokRI2p2JUnDUx4,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.7643965,-73.998577,40.7657560802915,-73.9972531697085,40.7630581197085,-73.9999511302915,"Q272+QH New York, NY, USA",87G8Q272+QH,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,W 34 St/9 Av,ChIJ_XAcR7JZwokRK-njdxvMPcM,ChIJ_XAcR7JZwokRK-njdxvMPcM,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.753475,-73.9967155,40.75486058029149,-73.99533956970848,40.75216261970849,-73.9980375302915,"Q233+98 New York, NY, USA",87G8Q233+98,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,10th Ave & 41st St,ChIJRb71bU1YwokR7Hask1k69TE,ChIJRb71bU1YwokR7Hask1k69TE,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.75877969999999,-73.9959337,40.76015693029149,-73.9946509697085,40.7574589697085,-73.99734893029151,"Q253+GJ New York, NY, USA",87G8Q253+GJ,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,10 Av/W 40 St,ChIJvQ3nFE1YwokRp2RAR7zBIbc,ChIJvQ3nFE1YwokRp2RAR7zBIbc,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.7585572,-73.9961106,40.75992908029149,-73.99482091970849,40.7572311197085,-73.9975188802915,"Q253+CH New York, NY, USA",87G8Q253+CH,,,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,W 42 St/10 Av,ChIJUanygU1YwokREw8Rk7gfG6I,ChIJUanygU1YwokREw8Rk7gfG6I,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.7594167,-73.9951966,40.7608104302915,-73.99381301970848,40.7581124697085,-73.9965109802915,"Q253+QW New York, NY, USA",87G8Q253+QW,"[{'height': 2801, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/116450449439351549731"">Joseph Raskin</a>'], 'photo_reference': 'AW30NDwmSP7WZCcoG4dwAFL9NMk6nCg1qXKQ2HamOMOmTU_m2csvI3aYplvrxjVMxChC9JwdU7Kq6LrJEeL5VQKDurN7tR3SKW3xbJ-RFcZP-Mj_V0MvOAdBt9xP26-Z8uPmBKaeYDJY4rMQ2SVfCqFCht_WnKImC6dARXaj4uzVh1dw53tG', 'width': 2801}]",,,,,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/train-71.png,#10BDFF,https://maps.gstatic.com/mapfiles/place_api/icons/v2/train_rail_1_pinlet,Grand Central Terminal,ChIJhRwB-yFawokRi0AhGH87UTc,ChIJhRwB-yFawokRi0AhGH87UTc,GOOGLE,"['train_station', 'transit_station', 'point_of_interest', 'establishment']","89 East 42nd Street, New York",40.75272619999999,-73.9772294,40.75501529999998,-73.97544694999999,40.75112850000001,-73.97863075,"Q23F+34 New York, NY, USA",87G8Q23F+34,"[{'height': 4640, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112845447592189254443"">Sven Jacobs</a>'], 'photo_reference': 'AW30NDyoUcUa6U6Dnmz-qPeEA8QDiOwWbr7Z8VdE_N2L6ytLWv6VEFPDwpjeRz5fObTBGFn6VJ7flOPOmXdXjaZ_9Yxw-HsP6jtcHeMXeM7cP4gI41X_xKg0twJ1hEZIT451srVVXD1E66_YtVQu7FqgdVsBg9UVqj9GMnRtWQaO8SI-OZTs', 'width': 6960}]",4.7,6010.0,,2.0,,transit_station
OPERATIONAL,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Madison Av/E 45 St,ChIJ0ykSHf5YwokR-awvk57u_uc,ChIJ0ykSHf5YwokR-awvk57u_uc,GOOGLE,"['transit_station', 'point_of_interest', 'establishment']",United States,40.7544842,-73.977946,40.7558610302915,-73.9766448697085,40.7531630697085,-73.9793428302915,"Q23C+QR New York, NY, USA",87G8Q23C+QR,"[{'height': 2354, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106513265802336367310"">Theresa</a>'], 'photo_reference': 'AW30NDzKAntdo3jTrojE0e4kkkn0jYcsBSZgyS4ULqnimneugbQOkD7ZD2TBjZjz19DWodPB84FDfEQDdMYZVInFmKWg5m4WdsyjxDyuwGVEJbQHvRVbwGopPwpO2nmK3qQVPP9H56_4M1uY8wH67azAazC-c6wDrJwxcB-tBaHDswPyMFI', 'width': 2148}]",4.0,6.0,,,,transit_station
