Borough,Neighbourhood,Latitude,Longitude,Zipcode,Restaurant_Count_Name,Restaurant_Count_Reviews,Restaurant_Count_Rating,Restaurant_Count_Price,Restaurant_Mean_Distance (m),Restaurant_Mean_Reviews,Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,Restaurant_Sum_Rating,Restaurant_Sum_Price,School_Count_Name,School_Mean_Reviews,School_Mean_Rating,School_Sum_Reviews,School_Sum_Rating,School_Sum_Price,Park_Count_Name,Park_Mean_Reviews,Park_Mean_Rating,Park_Sum_Reviews,Park_Sum_Rating,Transit_Count_Name,Transit_Mean_Reviews,Transit_Mean_Rating,Transit_Sum_Reviews,Transit_Sum_Rating,Grocery_Count_Name,Grocery_Mean_Reviews,Grocery_Mean_Rating,Grocery_Sum_Reviews,Grocery_Sum_Rating,Rat_Sum_Case Open?,Rat_Sum_Days Complaint Open,Rat_Count_Created Date,Rat_Count_Closed Date,Rat_Mean_Case Open?,Rat_Mean_Created Year,Rat_Mean_Created Month,Rat_Mean_Created Day,Rat_Mean_Closed Year,Rat_Mean_Closed Month,Rat_Mean_Closed Day,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Count_Ride Count,Uber_Mean_Month,Uber_Mean_Day,Uber_Mean_Ride Count
Manhattan,Lenox Hill,40.76811266,-73.95885969,10075,37,13,37,35,437.0543241,635.6923077,4.348383678,2.028571429,8264,160.8901961,71,7,13,4.285714286,91,30,0,2,2,5,2,5,12,2,4.125,8,16.5,2,212.5,3.5,425,7,12,1425,118,106,0.101694915,2017.508475,6.491525424,15.55932203,2017.632075,6.981132075,16.17924528,13.44339623,200,200,6.99,15.83,1
Manhattan,Roosevelt Island,40.76215961,-73.94916769,11106,63,39,63,62,1097.814869,576.2307692,4.174696545,1.709677419,22473,263.0058824,106,14,18.33333333,4.283333333,220,51.4,0,6,603.4,4.46,3017,22.3,14,2,3.45,8,13.8,12,364.75,4.258333333,4377,51.1,9,1022,85,76,0.105882353,2017.423529,6.576470588,16.96470588,2017.815789,6.973684211,16.73684211,13.44736842,12,12,6.833333333,18.25,1
Manhattan,Upper West Side,40.787658,-73.97705924,10024,54,38,54,52,336.1745796,1246.631579,4.190958606,2.057692308,47372,226.3117647,107,16,15.53333333,4.353333333,233,65.3,2,23,817.8947368,4.626315789,15540,87.9,15,2.25,3.6,9,14.4,6,171.3333333,3.983333333,1028,23.9,51,4284,452,402,0.112831858,2017.504425,6.373893805,14.96017699,2017.532338,6.422885572,15.20646766,10.65671642,346,346,6.87283237,15.9017341,1
Manhattan,Lincoln Square,40.77352889,-73.98533777,10023,38,20,38,38,612.4183968,1368.5,4.134262126,2.342105263,27370,157.1019608,89,15,53.07692308,4.115384615,690,53.5,0,15,262.2142857,4.507142857,3671,63.1,18,1.571428571,3.528571429,11,24.7,9,1003.111111,3.855555556,9028,34.7,23,2075,235,212,0.09787234,2016.595745,6.374468085,15.60425532,2016.660377,6.646226415,15.16981132,9.787735849,454,454,6.795154185,16.34581498,1
Manhattan,Clinton,40.75910089,-73.99611936,10018,54,31,54,53,944.5780762,1256.806452,4.271895425,2.075471698,38961,230.6823529,110,14,25.5,4.383333333,153,26.3,0,18,6446.615385,4.046153846,83806,52.6,6,,,0,0,8,440.5,4.616666667,2643,27.7,2,282,36,34,0.055555556,2016.861111,5.361111111,16.5,2016.764706,5.794117647,14.17647059,8.294117647,558,558,6.811827957,15.66129032,1
Manhattan,Midtown,40.7546911,-73.98166883,10017,24,0,24,21,445.6666667,,4.251633987,2.333333333,0,102.0392157,49,,,,,,,,,,,,,,,,,,,,,,0,17,1,1,0,2013,10,18,2013,11,4,17,6,6,6,16.66666667,1
Manhattan,Murray Hill,40.74830308,-73.97833208,10016,97,51,95,87,562.0441167,469.2352941,3.984127967,1.850574713,23931,378.4921569,161,20,15.93333333,4.233333333,239,63.5,0,8,12.33333333,4.166666667,74,25,13,5.5,4.725,22,18.9,2,409,4.2,818,8.4,5,530,49,44,0.102040816,2018.020408,6.775510204,15.59183673,2017.772727,6.704545455,15.20454545,12.04545455,,,,,
Manhattan,Chelsea,40.74403471,-74.00311633,10014,41,0,30,35,503.5365854,,4.134640523,1.914285714,0,124.0392157,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manhattan,Greenwich Village,40.72693289,-73.99991403,10003,79,56,79,78,1035.45311,1908.285714,4.258351948,2.102564103,106864,336.4098039,164,13,23.54545455,4.636363636,259,51,0,10,1753.222222,4.333333333,15779,39,9,47.25,4.35,189,17.4,9,1281.125,4.25,10249,34,19,1802,186,168,0.102150538,2017.241935,6.962365591,15.27419355,2017.410714,7.077380952,15.41666667,10.72619048,946,946,6.707188161,15.81395349,1
Manhattan,East Village,40.72784678,-73.98222617,10009,25,0,25,23,329.96,,4.388235294,1.826086957,0,109.7058824,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
