,Name,Reviews,Rating,Price,Distance (m),Latitude,Longitude,Address,Borough,Zipcode,Category
91,Asian Tokyo,72,3.5,$$,790.54744455679,40.8910472840381,-73.8982448328066,4685 Manhattan College Pkwy,Bronx,10471,restaurant
92,Estrellita Poblana Taqueria Express,52,3.5,,870.8623269235687,40.8897,-73.89853,5975 Broadway,Bronx,10471,restaurant
93,Sloppie Joe's Food Truck,31,5.0,$,4738.09226674252,40.91594,-73.85459,,Yonkers,10704,restaurant
94,Kai Fan Asian Cuisine,52,3.5,$$,924.8416582472112,40.8872367,-73.9074783,3717 Riverdale Ave,Bronx,10463,restaurant
95,Goodfellas Pizza Pasta,84,3.5,$,941.8855633902592,40.886989,-73.904396,3661 Waldo Ave,Bronx,10463,restaurant
96,Best Deli & Grill,35,3.5,$,865.5222336725254,40.8896963247319,-73.8986893552948,201-203 W 242nd St,Bronx,10471,restaurant
97,Tiny's Diner,107,3.0,$$,975.8563809808584,40.8867411222787,-73.9072045235889,3603 Riverdale Ave,Bronx,10463,restaurant
98,A Taste Of Magic,73,4.5,$$$,16289.6670461356,40.76337,-73.989431,733 9th Ave,Manhattan,10019,restaurant
99,Jasper's Gourmet Deli,45,3.5,$,932.4279023392484,40.887024,-73.904602,434 W 238th St,Bronx,10463,restaurant
100,Aoyu Sushi,283,4.5,$$,566.0343664963043,40.8860150724649,-73.9098029583693,3532 A Johnson Ave,Bronx,10463,restaurant
101,Greek Express,246,4.0,$$,564.6996750104998,40.887465130647726,-73.90755915766862,3733 Riverdale Ave,Bronx,10463,restaurant
102,Liebman's Kosher Delicatessen,337,4.0,$$,641.3899151332785,40.88548,-73.90951,552 W 235th St,Bronx,10463,restaurant
103,Yo-Burger,283,4.0,$$,618.5490367313586,40.88739,-73.90695,3726 Riverdale Ave,Bronx,10463,restaurant
104,Kingsbridge Social Club,265,4.5,$$,1129.3921262008269,40.88455,-73.90194,3625 Kingsbridge Ave,Bronx,10463,restaurant
105,Salvatores of Soho,331,4.0,$$,584.6162113994346,40.8875232,-73.90704,3738 Riverdale Ave,Bronx,10463,restaurant
106,Tin Marin,358,4.0,$$,642.2252519508253,40.8870296802542,-73.9068375260971,3708 Riverdale Ave,Bronx,10463,restaurant
107,Leche Y Miel Restaurant,329,4.0,$$,1205.781384770071,40.88373,-73.90183,5761 Broadway,Bronx,10463,restaurant
108,An Beal Bocht Cafe,148,4.0,$$,736.91523919889,40.88738,-73.90498,445 W 238th St,Bronx,10463,restaurant
109,Neem Indian Cuisine,91,4.5,$$,533.5516092095581,40.886547,-73.909968,3549 Johnson Ave,New York,10463,restaurant
110,Cocina Chente,214,4.0,$$,685.6814400595781,40.88620632793199,-73.9071951348118,3535 Riverdale Ave,Bronx,10463,restaurant
111,Bella Notte,226,3.5,$$,591.9420923342741,40.886035,-73.909539,3524 Johnson Ave,Bronx,10463,restaurant
112,Palace of Japan,204,3.5,$$,579.5342014991777,40.88612,-73.91,3505 Johnson Ave,Bronx,10463,restaurant
113,Moss Cafe,168,4.0,$$,654.1500077547487,40.88529937379742,-73.90994947055142,3260 Johnson Ave,Bronx,10463,restaurant
114,Moon Star Grill,128,4.0,$$,571.6066734319645,40.8861089331436,-73.909908766271,3519-25 Johnson Ave,Riverdale,10463,restaurant
115,Blackstone Bar & Grill,100,4.0,$$,598.7718754856076,40.887361171014,-73.9071422050018,3713 Riverdale Ave,Bronx,10463,restaurant
116,Flame,163,4.0,$$$,1306.4160297864305,40.882742,-73.901366,5740 Broadway,Bronx,10463,restaurant
