Distance (m),Name,Neighbourhood,Zipcode,Reviews,Rating,Price,Latitude,Longitude,Borough,Category
494,Kam Man Kitchen,Bronx Park and Fordham,10467,,,1,40.87722416,-73.87939074,Bronx,restaurant
494,Mario's Pizza,Bronx Park and Fordham,10467,,,1,40.87722416,-73.87939074,Bronx,restaurant
497,Global Deli 1,Bronx Park and Fordham,10467,,,1,40.87722416,-73.87939074,Bronx,restaurant
612,Caribe Restaurant,Bronx Park and Fordham,10467,,1.862745098,2,40.87722416,-73.87939074,Bronx,restaurant
553,La Gondola Deli,Bronx Park and Fordham,10458,,,1,40.87722416,-73.87939074,Bronx,restaurant
523,Gold Star DBA Platinum Dining,Bronx Park and Fordham,10467,,4.529411765,2,40.88103888,-73.85744643,Bronx,restaurant
979,Royal Coach Diner,Northeast Bronx,10469,2880,3.5,2,40.8724886,-73.8542747,Bronx,restaurant
861,Kingston Tropical Bakery,Northeast Bronx,10466,,3.901960784,1,40.88103888,-73.85744643,Bronx,restaurant
888,Richie Rich Carribean,Northeast Bronx,10469,110,3,2,40.87599047,-73.84983858,Bronx,restaurant
66,O G Cafe,Northeast Bronx,10469,,,1,40.88103888,-73.85744643,Bronx,restaurant
503,Platnium Dining,Bronx Park and Fordham,10467,,,2,40.88103888,-73.85744643,Bronx,restaurant
577,Agra Grill,Bronx Park and Fordham,10467,84,4,2,40.88465,-73.86244,Bronx,restaurant
578,Nana's African Kitchen,Bronx Park and Fordham,10467,,,2,40.88103888,-73.85744643,Bronx,restaurant
580,Cholo & Sons Bakery,Bronx Park and Fordham,10467,,,1,40.88103888,-73.85744643,Bronx,restaurant
606,Ochie Bikkle Kool Carribbean,Bronx Park and Fordham,10467,,,2,40.88103888,-73.85744643,Bronx,restaurant
726,Superhero,Northeast Bronx,10469,,,1,40.88103888,-73.85744643,Bronx,restaurant
732,Holyfruits Juice Press,Northeast Bronx,10466,,,1,40.88103888,-73.85744643,Bronx,restaurant
753,A2Z Deli,Northeast Bronx,10466,,,1,40.88103888,-73.85744643,Bronx,restaurant
