Distance (m),Name,Neighbourhood,Reviews,Rating,Price,Latitude,Longitude,Borough,Zipcode,Category
332.0,Royal Caribbean Jamaican Bakery,Eastchester,,2.0196078431372553,2.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
372.0,Faity's Kitchen,Eastchester,,2.0196078431372553,2.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
306.0,Dyre Ave Diner,Eastchester,,1.8627450980392157,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
312.0,Rayan Candy & Newspaper,Eastchester,,,1.0,40.887555677350775,-73.82780644716412,Bronx,10466.0,restaurant
905.0,An Beal Bocht Cafe,Fieldston,,4.372549019607844,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
938.0,Tin Marin,Fieldston,,4.450980392156863,2.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
923.0,Fenwick's Bar & Grill,Fieldston,,4.294117647058824,2.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
909.0,Yo-Burger,Fieldston,,4.215686274509805,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
757.0,Tortoise & Hare,Fieldston,,3.509803921568628,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
892.0,Greek Express,Fieldston,,3.588235294117647,2.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
876.0,Salvatores of Soho,Fieldston,,3.4313725490196076,2.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
798.0,Jake's Steakhouse,Fieldston,,3.1176470588235303,3.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
987.0,Rolen Bagels,Fieldston,,3.1960784313725497,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
874.0,Burrito Shop,Fieldston,,3.1176470588235303,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
859.0,Broadway Joe's Pizza,Fieldston,,3.03921568627451,2.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
985.0,Tiny's Diner,Fieldston,,2.8823529411764715,2.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
920.0,Jasper's Deli,Fieldston,,2.6470588235294117,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
908.0,New Riverdale Deli,Fieldston,,2.5686274509803924,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
802.0,Burger King,Fieldston,,2.3333333333333335,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
798.0,Asian Tokyo,Fieldston,,,2.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
849.0,Gourmet Market and Bagel,Fieldston,,,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
856.0,Stiff Weasel,Fieldston,,,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
861.0,Blue Charcoal Grill,Fieldston,,,2.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
868.0,Estrellita Poblana Taqueria Express,Fieldston,,,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
872.0,The Last Stop,Fieldston,,,2.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
877.0,Best Deli And Grill,Fieldston,,,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
932.0,Taste of the Palace,Fieldston,,,2.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
915.0,Corner Cafe & Bakery,Fieldston,,1.6274509803921569,1.0,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
717.0,Locke’s Dinning Hall,Fieldston,,,,40.89543742690383,-73.90564259591682,Bronx,10471.0,restaurant
619.0,Tin Marin,Riverdale,,4.450980392156863,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
546.0,Blue Bay Restaurant,Riverdale,,4.137254901960786,2.0,40.890834493891305,-73.9125854610857,Bronx,10463.0,restaurant
