Borough,Neighbourhood,Latitude,Longitude,Zipcode,Median_Cost_Per_Studio,Median_Cost_Per_1_Bed,Median_Cost_Per_2_Bed,Avg_Cost_Per_Studio,Avg_Cost_Per_1_Bed,Avg_Cost_Per_2_Bed,Avg_Cost_Per_3_Bed,Restaurant_Count_Name,Restaurant_Mean_Distance (m),Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,School_Count_Name,Park_Count_Name,Transit_Count_Name,Grocery_Count_Name,Rat_Mean_Case Open?,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Mean_Ride Count,Resto_Cluster,Transport_Cluster,Location_Cluster,Resto_Rat_Cluster,POI_Cluster
Bronx,Olinville,40.87137078,-73.86332362,10467,,,,,,,,24,561.5833333,3.381461676,1.181818182,0,0,0,0,0,0,0,0,0,1,2,1,3,2
Bronx,Pelham Gardens,40.86296562,-73.84161195,10469,,,2929,,,,,25,669.48,3.196078431,1.409090909,0,0,0,0,0,0,5.711267606,0,0,1,2,1,3,2
Bronx,Concourse,40.83428381,-73.91558942,10452,1450,2250,2000,,,,,25,693.24,2.794117647,1.363636364,0,0,0,0,0,0.011308562,8.242326333,3,1,1,0,1,3,2
Bronx,Unionport,40.8297743,-73.85053524,10472,,1650,1775,,,,,48,720.5627685,3.481666667,1.590909091,17290,16,11,6,6,0.006514658,8.758957655,0,0,1,2,1,3,2
Bronx,Edenwald,40.8845613,-73.84808272,10469,,,,,,,,89,730.3763156,3.553404139,1.447761194,18960,33,15,50,7,0,10.02316602,0,0,1,2,1,1,0
Brooklyn,Bay Ridge,40.62580107,-74.03062069,11209,2038,1750,2109,,,,,25,562.64,3.760784314,1.92,0,0,0,0,0,0,9.810055866,0,0,1,2,1,3,2
Brooklyn,Bensonhurst,40.6110089,-73.99517998,11214,4200,1500,1795,,,,,25,654.72,3.186851211,1.363636364,0,0,0,0,0,0,13.6969697,0,0,1,2,1,3,2
Brooklyn,Sunset Park,40.64510295,-74.01031619,11220,4000,1812.5,2000,1400,1912,2300,2500,47,584.041121,3.865174766,1.369565217,12112,20,3,17,19,0.004705882,12.42823529,0,0,1,2,1,3,0
Brooklyn,Greenpoint,40.73020098,-73.95424093,11222,2350,2400,2550,2347,2812,3708,5278,59,359.6518027,4.343436358,1.810344828,17627,19,19,15,9,0.001718213,14.89347079,81,1,1,0,1,1,0
Brooklyn,Gravesend,40.59526001,-73.97347088,11223,5800,1600,1838,,,,,88,597.8824311,3.961856209,1.577464789,30472,30,14,23,12,0,18.91304348,0,0,1,2,1,1,0
Brooklyn,Brighton Beach,40.57682507,-73.96509449,11235,2050,1575,2050,,,,,25,338.96,3.268907563,1.75,0,0,0,0,0,0,16.52434457,1,1,1,0,1,3,2
Brooklyn,Sheepshead Bay,40.58689013,-73.9431864,11235,1570,1665,2200,,,,,25,602.44,3.293333333,1.833333333,0,0,0,0,0,0,4.708333333,0,0,1,2,1,3,2
Brooklyn,Manhattan Terrace,40.61443251,-73.95743841,11230,,,,,,,,25,529.72,3.274509804,1.608695652,0,0,0,0,0,0.013605442,12.54421769,1,1,1,0,1,3,2
Brooklyn,Flatbush,40.63632589,-73.95840107,11218,1618,1800,2117,,,,,29,751.72,3.658350237,1.785714286,1128,15,11,9,3,0,0,6,1,1,0,1,3,2
Brooklyn,Crown Heights,40.67082918,-73.94329119,11225,1759,1850,2200,1806,2310,2582,3185,25,763.44,3.763921569,1.6,0,0,0,0,0,0.004756243,12.37098692,3,1,1,0,1,3,2
