Borough,Neighbourhood,Latitude,Longitude,Zipcode,Restaurant_Count_Name,Restaurant_Count_Reviews,Restaurant_Count_Rating,Restaurant_Count_Price,Restaurant_Mean_Distance (m),Restaurant_Mean_Reviews,Restaurant_Mean_Rating,Restaurant_Mean_Price,Restaurant_Sum_Reviews,Restaurant_Sum_Rating,Restaurant_Sum_Price,School_Count_Name,School_Mean_Reviews,School_Mean_Rating,School_Sum_Reviews,School_Sum_Rating,School_Sum_Price,Park_Count_Name,Park_Mean_Reviews,Park_Mean_Rating,Park_Sum_Reviews,Park_Sum_Rating,Transit_Count_Name,Transit_Mean_Reviews,Transit_Mean_Rating,Transit_Sum_Reviews,Transit_Sum_Rating,Grocery_Count_Name,Grocery_Mean_Reviews,Grocery_Mean_Rating,Grocery_Sum_Reviews,Grocery_Sum_Rating,Rat_Sum_Case Open?,Rat_Sum_Days Complaint Open,Rat_Count_Created Date,Rat_Count_Closed Date,Rat_Mean_Case Open?,Rat_Mean_Created Year,Rat_Mean_Created Month,Rat_Mean_Created Day,Rat_Mean_Closed Year,Rat_Mean_Closed Month,Rat_Mean_Closed Day,Rat_Mean_Days Complaint Open,Uber_Sum_Ride Count,Uber_Count_Ride Count,Uber_Mean_Month,Uber_Mean_Day,Uber_Mean_Ride Count
Bronx,Parkchester,40.83793782,-73.85600311,10462,25,0,13,22,580.32,,2.870286576,1.636363636,0,37.31372549,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Westchester Square,40.8406195,-73.84219408,10461,25,0,17,24,455.16,,3.099192618,1.375,0,52.68627451,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Van Nest,40.84360847,-73.86629918,10460,54,32,42,46,533.495387,231.5,3.511437908,1.369565217,7408,147.4803922,63,22,16.70588235,4.011764706,284,68.2,0,21,83.66666667,4.180952381,1757,87.8,28,8.916666667,4.266666667,107,51.2,12,212.5454545,4.045454545,2338,44.5,22,2317,273,252,0.080586081,2016.490842,6.186813187,15.01465201,2016.710317,6.523809524,15.25,9.194444444,1,1,7,27,1
Bronx,Morris Park,40.84754906,-73.85040178,10461,25,0,18,23,626.76,,3.091503268,1.47826087,0,55.64705882,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Belmont,40.8572771,-73.88845196,10458,82,64,81,75,589.7970135,322.09375,4.038247398,1.573333333,20614,327.0980392,118,22,20,3.815789474,380,72.5,0,28,183.962963,4.077777778,4967,110.1,38,7.565217391,4.126086957,174,94.9,12,287.6363636,3.972727273,3164,43.7,35,5186,465,433,0.075268817,2016.070968,6.367741935,15.35053763,2016.311778,6.598152425,15.72286374,11.97690531,2,2,8,14,1
Bronx,Spuyten Duyvil,40.88139498,-73.91719048,10463,86,71,77,77,770.6330258,415.5070423,3.798395722,1.649350649,29501,292.4764706,127,33,17.45833333,3.929166667,419,94.3,0,32,85.84615385,4.288461538,2232,111.5,44,3.411764706,3.864705882,58,65.7,11,843.6363636,4.1,9280,45.1,25,2621,249,225,0.100401606,2017.851406,6.53815261,16.73092369,2017.795556,6.777777778,16.40888889,11.64888889,3,3,7.666666667,16.66666667,1
Bronx,North Riverdale,40.90854283,-73.90453055,10471,62,49,54,53,524.2815712,197.1836735,3.814669572,1.566037736,9662,205.9921569,83,28,10.05555556,4.527777778,181,81.5,0,17,178.5454545,3.909090909,1964,43,27,2.6,4.86,13,24.3,3,233.6666667,3.9,701,11.7,4,511,44,40,0.090909091,2018.522727,6.477272727,14.20454545,2018.75,6.95,14.9,12.775,6,6,7,6.333333333,1
Bronx,Pelham Bay,40.85064141,-73.83207378,10461,117,104,114,101,584.6455097,325.5192308,3.951014792,1.574257426,33854,450.4156863,159,46,14.03571429,4.25,393,119,0,18,74.46153846,4.484615385,968,58.3,56,5.272727273,4.154545455,116,91.4,5,604.6,4.18,3023,20.9,3,1153,111,109,0.027027027,2016.945946,6.36036036,15.6036036,2017.119266,6.155963303,16.0733945,10.57798165,,,,,
Bronx,Schuylerville,40.82657952,-73.82620276,10465,25,0,20,23,486.88,,3.411764706,1.391304348,0,68.23529412,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronx,Edgewater Park,40.82198612,-73.81388514,10465,87,71,80,73,623.8995393,297.1408451,3.649901961,1.630136986,21097,291.9921569,119,30,11.61111111,4.3,209,77.4,0,12,64.72727273,4.318181818,712,47.5,55,1.428571429,3.714285714,10,26,3,376,4.2,1128,12.6,5,1242,86,81,0.058139535,2015.72093,6.906976744,16.40697674,2015.962963,7.185185185,17.30864198,15.33333333,,,,,
