Neighbourhood,Distance (m),Reviews,Rating,Price,Latitude,Longitude,Zipcode
Greenwich Village,,47.25,4.35,,40.72921415555555,-73.98853372222223,10003.0
Hammels,,8.666666666666666,4.311111111111111,,40.594179588888885,-73.81440812222222,11693.0
HighBridge and Morrisania,,7.5,3.75,,40.823851466666675,-73.91552947333334,
Highland Park,,14.555555555555555,3.6555555555555554,,40.67062262307692,-73.8901724923077,11207.0
Hillcrest,,1.0,5.0,,40.729388315,-73.787775595,11366.0
Hollis,,1.0,4.333333333333333,,40.71729576956522,-73.76286994782609,11423.0
Holliswood,,1.0,4.0,,40.72978626315789,-73.74632094736842,11427.0
Howard Beach,,1.0,1.0,,40.657456708333335,-73.83982864583334,11414.0
Hudson Yards,,98.47619047619048,3.6285714285714286,,40.75204168965517,-73.99505811379309,10001.0
Hunts Point,,4.333333333333333,3.1666666666666665,,40.809535806666666,-73.88438098666667,10474.0
Inwood,,21.9,3.53,,40.86923703125,-73.9175225875,10034.0
Inwood and Washington Heights,,65.75,4.324999999999999,,40.85120469411765,-73.93678492941177,
Jackson Heights,,159.0,4.6000000000000005,,40.7524734090909,-73.88399887272728,11372.0
Jamaica,,1.1428571428571428,4.214285714285714,,40.6979901,-73.79100714375,
Jamaica Hills,,11.523809523809524,3.8190476190476192,,40.71098788695652,-73.79505014130434,11432.0
Kew Gardens,,1.8,2.9,,40.70611075,-73.83158632142856,11415.0
Kew Gardens Hills,,1.7142857142857142,3.7142857142857144,,40.73033973888889,-73.82105391111111,11367.0
Kingsbridge Heights,,2.25,4.525,,40.86965022,-73.900687825,10468.0
Laurelton,,4.777777777777778,3.3666666666666667,,40.66195082,-73.73733786333332,11422.0
Lefrak City,,25.0,3.6,,40.74168593076923,-73.87650453076922,11373.0
Lenox Hill,,2.0,4.125,,40.774526533333336,-73.95850989166667,10075.0
Lighthouse Hill,,3.238095238095238,4.0476190476190474,,40.569795156,-74.1164258936,10306.0
