Neighbourhood,Case Open?,Latitude,Longitude,Incident Zip,Created Year,Created Month,Created Day,Closed Year,Closed Month,Closed Day,Days Complaint Open
Rockaway Park,3,1257.9659518153628,-2288.9505582986967,362514.0,62525,188,451,56474.0,181.0,461.0,665.0
Roosevelt Island,9,3383.2378245327154,-6136.341499959452,944010.0,171481,559,1442,153354.0,530.0,1272.0,1022.0
Rugby,23,10203.855756048843,-18557.860709384237,2811953.0,506118,1696,3903,459688.0,1594.0,3680.0,-39769.0
Sea Gate,14,3448.998634401826,-6288.949619156633,954040.0,171411,563,1350,145210.0,501.0,1136.0,1175.0
Somerville,2,527.7226262697486,-959.363879026075,151996.0,26193,80,226,22157.0,64.0,205.0,120.0
South Jamaica,0,40.69728430840436,-73.7895755007848,11433.0,2019,7,8,2019.0,10.0,3.0,86.0
South Ozone Park,8,4230.281840672778,-7676.846791851529,1187680.0,209700,740,1675,199641.0,748.0,1594.0,1460.0
South Side,0,81.42168020858044,-147.91586943198158,22422.0,4036,18,39,4036.0,19.0,28.0,20.0
Southeast Queens,1,692.2392568704345,-1253.6174481378491,194276.0,34263,101,269,32253.0,104.0,328.0,244.0
Southwest Brooklyn,3,2518.444391636083,-4588.711011083476,707364.0,127170,430,1030,121109.0,442.0,948.0,752.0
Southwest Queens,7,2766.83368320423,-5019.883318907912,776492.0,137124,493,1045,123011.0,446.0,1048.0,721.0
Springfield Gardens,10,5125.722093702063,-9295.957115130464,1440684.0,253909,813,2070,235785.0,810.0,1801.0,1166.0
Spuyten Duyvil,25,9974.715794529502,-18032.522052007993,2605287.0,502445,1628,4166,454004.0,1525.0,3692.0,2621.0
St. Albans,7,4721.021488995401,-8555.956077387791,1335204.0,235833,771,1761,221735.0,757.0,1576.0,1087.0
Stuyvesant Town,28,13154.359232306637,-23895.837525087405,3272943.0,659595,2177,5242,603165.0,2057.0,4680.0,2563.0
Sunnyside Gardens,8,3666.8849366972795,-6652.986408268342,1010464.0,183670,615,1485,169538.0,606.0,1353.0,1204.0
Sunset Park,37,12031.205055403057,-21906.952229001497,3344604.0,601537,1958,4401,526901.0,1825.0,4043.0,4079.0
Sutton Place,9,2771.9865325587657,-5029.57051479441,684420.0,137100,444,944,120995.0,395.0,882.0,879.0
Tottenville,2,1134.2356201095472,-2078.819776433287,288596.0,56403,200,408,52372.0,198.0,443.0,429.0
Tudor City,1,652.0285348923322,-1183.5667023716287,170289.0,34281,135,257,32271.0,133.0,311.0,170.0
Turtle Bay,6,3464.4344755608017,-6287.135965347525,881936.0,177457,591,1390,165345.0,569.0,1215.0,816.0
Unionport,19,13922.96866461477,-25189.14682834904,3591896.0,692048,2375,5344,655767.0,2302.0,5130.0,2734.0
Upper East Side,40,16066.336901620498,-29136.998517072676,4028775.0,804602,2577,6235,732094.0,2380.0,6061.0,3789.0
Upper West Side,51,17905.406467042354,-32475.252881093395,4530848.0,911912,2881,6762,811048.0,2582.0,6113.0,4284.0
Van Nest,22,11149.527078993518,-20169.318271362874,2855580.0,550502,1689,4099,508211.0,1644.0,3843.0,2317.0
Washington Heights,24,11148.668634207792,-20185.99129335843,2748770.0,552469,1795,4415,506103.0,1752.0,4011.0,3085.0
Weeksville,67,22739.616183353737,-41321.1465105248,6312946.0,1133415,3672,8827,1010425.0,3381.0,7836.0,6918.0
West Central Queens,14,3746.987554216202,-6795.280894968726,1057782.0,187661,622,1546,161429.0,550.0,1284.0,1476.0
West Queens,33,16055.262206647762,-29115.77603734968,4515852.0,800842,2715,6139,734292.0,2639.0,5709.0,5494.0
West Village,24,8187.41587322212,-14874.874376897875,2012814.0,405398,1308,3262,357050.0,1243.0,2838.0,2127.0
Westerleigh,6,2884.803518369655,-5263.663545115426,741744.0,145243,475,1110,135153.0,439.0,1114.0,907.0
Willowbrook,15,7999.814218961675,-14606.45939736442,2031858.0,397198,1267,3104,369008.0,1241.0,3092.0,3590.0
Wingate,22,16065.017211279446,-29204.83211073353,4485200.0,806732,2625,6634,764383.0,2602.0,6208.0,4557.0
Woodhaven,4,1831.077004113089,-3323.5914332576663,513945.0,90704,282,683,84654.0,267.0,649.0,507.0
Woodlawn,7,6338.059649030556,-11447.0652836467,1622242.0,312504,1001,2491,298418.0,1001.0,2466.0,1713.0
