Neighbourhood,Case Open?,Latitude,Longitude,Incident Zip,Created Year,Created Month,Created Day,Closed Year,Closed Month,Closed Day,Days Complaint Open
Clinton,0.05555555555555555,40.755096927236785,-73.99306766244439,10018.0,2016.861111111111,5.361111111111111,16.5,2016.764705882353,5.794117647058823,14.176470588235293,8.294117647058824
Clinton Hill,0.04522613065326633,40.679422072811526,-73.96347714275345,11237.751256281406,2017.4082914572864,6.767587939698492,15.444723618090451,2017.4914586070959,7.061760840998686,15.123521681997373,14.533508541392903
College Point,0.13793103448275862,40.78637406225963,-73.84469688906458,11356.0,2016.9310344827586,6.206896551724138,19.17241379310345,2017.68,6.92,19.52,22.32
Concord,0.08333333333333333,40.59727710290642,-74.07542331121167,10305.0,2016.5833333333333,6.787037037037037,15.712962962962964,2016.6734693877552,7.051020408163265,17.928571428571427,18.724489795918366
Concourse Village,0.049783549783549784,40.83046144842816,-73.90941128939272,10455.978354978355,2016.560606060606,6.7272727272727275,15.103896103896103,2016.687074829932,6.8979591836734695,16.020408163265305,9.408163265306122
Cypress Hills,0.1610738255033557,40.67585231276717,-73.87398921909181,11208.0,2016.731543624161,6.647651006711409,15.771812080536913,2016.686746987952,6.903614457831325,16.31726907630522,12.514056224899598
Ditmas Park,0.07784431137724551,40.64284533765048,-73.97513712155727,11218.0,2018.3353293413174,7.053892215568863,14.095808383233534,2018.3290322580644,7.15483870967742,15.341935483870968,14.290322580645162
Douglaston,0.18181818181818182,40.75975845220186,-73.73440722039207,11362.0,2016.0,6.454545454545454,16.454545454545453,2016.2222222222222,7.222222222222222,19.88888888888889,12.333333333333334
Dumbo,0.07692307692307693,40.692451192450584,-73.99079952756377,11201.0,2017.2348178137652,7.194331983805668,15.93927125506073,2017.3187772925764,7.427947598253275,16.737991266375545,16.572052401746724
East Harlem,0.09271523178807947,40.79608482541704,-73.9423673628652,10031.264900662252,2017.3476821192053,6.501655629139073,16.11092715231788,2017.5492700729926,6.731751824817518,15.755474452554745,9.91058394160584
East New York,0.0,40.67038714640415,-73.88079836210851,11208.0,2011.0,2.0,22.0,2011.0,3.0,2.0,8.0
